,did_activity,did_interaction,is_AM,is_adult,color,on_ground
1,True,True,0,1.0,1.0,1.0
2,True,False,1,1.0,2.0,0.0
3,True,True,0,0.0,1.0,0.0
5,False,False,1,0.0,1.0,1.0
6,True,False,0,1.0,1.0,1.0
8,True,False,1,1.0,1.0,1.0
10,True,False,1,1.0,1.0,0.0
12,True,False,1,1.0,1.0,1.0
13,True,False,1,1.0,1.0,1.0
14,False,True,0,1.0,1.0,1.0
15,True,False,1,1.0,1.0,0.0
16,True,False,0,1.0,1.0,1.0
17,True,False,0,1.0,1.0,1.0
18,True,False,0,1.0,2.0,1.0
19,True,False,1,1.0,1.0,0.0
20,True,False,0,1.0,1.0,0.0
21,True,False,1,1.0,1.0,1.0
22,True,False,0,0.0,1.0,1.0
23,False,False,1,1.0,1.0,1.0
24,True,True,1,1.0,1.0,0.0
25,True,True,1,1.0,2.0,1.0
26,False,True,1,1.0,2.0,1.0
27,True,False,0,1.0,1.0,1.0
29,True,False,1,1.0,1.0,1.0
30,True,False,0,1.0,1.0,1.0
32,True,False,1,1.0,1.0,1.0
33,True,False,0,1.0,1.0,1.0
34,True,True,0,1.0,1.0,1.0
35,True,True,0,1.0,2.0,1.0
36,False,False,0,1.0,1.0,1.0
37,True,True,1,1.0,1.0,1.0
38,True,False,0,1.0,1.0,0.0
39,True,False,0,1.0,1.0,1.0
40,True,True,1,1.0,1.0,1.0
41,True,True,0,1.0,0.0,1.0
42,True,True,0,0.0,1.0,0.0
43,True,False,1,1.0,1.0,0.0
44,True,True,1,1.0,1.0,0.0
45,True,False,0,1.0,1.0,0.0
46,True,True,0,1.0,1.0,1.0
47,True,False,1,1.0,1.0,0.0
48,True,False,1,1.0,1.0,0.0
49,True,False,1,1.0,0.0,0.0
50,True,False,0,1.0,1.0,1.0
51,True,False,1,0.0,1.0,1.0
52,True,True,1,0.0,1.0,1.0
53,True,False,0,1.0,1.0,1.0
54,True,False,0,1.0,1.0,1.0
55,True,False,1,0.0,1.0,1.0
56,True,False,1,0.0,1.0,1.0
57,False,True,0,1.0,1.0,1.0
58,True,False,0,1.0,1.0,1.0
59,True,True,0,1.0,1.0,1.0
60,True,True,0,1.0,1.0,1.0
61,True,False,1,1.0,1.0,1.0
62,True,True,1,1.0,2.0,1.0
64,False,True,0,1.0,1.0,1.0
65,True,False,0,1.0,1.0,1.0
66,True,True,0,1.0,2.0,1.0
68,True,False,0,1.0,1.0,1.0
69,True,False,0,1.0,1.0,1.0
70,True,False,0,1.0,1.0,0.0
71,True,False,0,1.0,1.0,0.0
72,True,True,0,1.0,1.0,1.0
73,True,True,0,1.0,1.0,1.0
74,True,False,0,1.0,1.0,1.0
75,True,False,0,1.0,1.0,1.0
76,True,False,1,1.0,1.0,1.0
77,False,True,0,1.0,1.0,1.0
78,True,True,1,1.0,2.0,1.0
79,True,True,1,1.0,1.0,0.0
80,True,False,0,1.0,1.0,1.0
81,True,True,0,1.0,1.0,1.0
82,True,True,0,1.0,2.0,1.0
83,True,True,1,1.0,1.0,1.0
84,True,False,0,1.0,1.0,0.0
85,True,False,1,1.0,1.0,0.0
86,True,True,0,1.0,2.0,1.0
87,True,True,1,1.0,2.0,1.0
88,True,False,0,1.0,1.0,1.0
89,True,True,1,1.0,1.0,1.0
92,True,False,1,1.0,1.0,1.0
93,True,True,0,1.0,1.0,1.0
94,True,True,1,1.0,1.0,1.0
95,False,False,0,1.0,1.0,0.0
96,True,False,1,1.0,1.0,1.0
97,False,True,1,0.0,1.0,0.0
98,True,False,0,1.0,0.0,0.0
99,False,True,1,0.0,1.0,0.0
100,True,True,0,0.0,1.0,1.0
101,True,True,0,1.0,1.0,0.0
103,True,False,1,1.0,1.0,1.0
104,True,False,0,1.0,1.0,0.0
105,True,False,0,1.0,1.0,1.0
106,True,True,1,1.0,1.0,1.0
107,True,True,0,1.0,1.0,1.0
109,True,True,1,1.0,1.0,0.0
110,True,False,0,1.0,1.0,0.0
111,True,False,1,1.0,1.0,0.0
112,True,False,0,1.0,1.0,0.0
113,True,True,0,1.0,1.0,1.0
114,True,False,0,0.0,1.0,1.0
115,True,False,1,1.0,1.0,0.0
116,False,False,1,1.0,1.0,1.0
117,True,False,0,1.0,1.0,1.0
118,True,False,0,1.0,1.0,1.0
119,True,False,1,1.0,2.0,1.0
120,True,False,1,1.0,1.0,1.0
121,True,True,1,1.0,1.0,1.0
122,True,True,1,1.0,1.0,1.0
123,True,True,1,1.0,1.0,1.0
124,True,False,0,1.0,2.0,1.0
125,True,False,0,1.0,1.0,0.0
126,True,True,1,1.0,1.0,1.0
127,True,True,0,1.0,1.0,1.0
128,True,False,0,1.0,1.0,1.0
129,True,True,0,1.0,0.0,1.0
130,True,False,1,1.0,1.0,1.0
131,True,False,1,1.0,1.0,1.0
132,True,True,0,1.0,1.0,1.0
133,True,True,0,1.0,1.0,1.0
134,True,True,0,1.0,1.0,0.0
135,True,True,0,1.0,1.0,1.0
136,True,True,1,1.0,1.0,0.0
137,True,False,0,1.0,1.0,1.0
138,True,False,1,1.0,1.0,0.0
139,False,False,0,1.0,2.0,1.0
140,True,False,0,1.0,1.0,1.0
141,True,False,0,1.0,1.0,1.0
142,True,True,0,1.0,1.0,1.0
143,True,False,0,1.0,1.0,0.0
144,True,False,1,1.0,1.0,1.0
145,True,False,1,1.0,1.0,1.0
146,True,True,1,1.0,1.0,0.0
147,False,False,1,1.0,1.0,1.0
148,True,False,0,0.0,1.0,1.0
149,True,True,0,1.0,2.0,0.0
150,True,False,1,1.0,2.0,1.0
151,True,False,1,1.0,1.0,1.0
152,True,False,0,1.0,1.0,1.0
153,True,True,1,1.0,1.0,1.0
154,True,True,0,0.0,1.0,1.0
155,True,False,0,1.0,1.0,0.0
156,True,True,1,1.0,1.0,1.0
157,True,False,0,1.0,1.0,1.0
158,True,True,0,1.0,1.0,1.0
159,True,True,1,1.0,1.0,1.0
160,True,True,0,1.0,1.0,1.0
161,True,True,0,1.0,1.0,1.0
162,False,False,1,1.0,1.0,0.0
163,True,False,0,1.0,1.0,1.0
164,True,True,0,1.0,2.0,1.0
165,True,False,1,1.0,2.0,0.0
166,True,False,0,1.0,1.0,1.0
167,True,True,0,1.0,1.0,0.0
168,True,False,1,0.0,1.0,0.0
169,True,True,1,1.0,1.0,1.0
170,True,False,0,1.0,1.0,1.0
171,True,True,1,0.0,1.0,1.0
173,True,False,0,1.0,1.0,1.0
174,True,True,1,1.0,1.0,1.0
175,True,True,0,1.0,1.0,1.0
177,True,False,0,1.0,1.0,0.0
178,True,False,0,1.0,1.0,1.0
179,True,False,0,1.0,1.0,1.0
180,True,True,0,1.0,0.0,1.0
182,True,False,1,1.0,1.0,1.0
183,True,True,1,1.0,1.0,1.0
184,True,True,1,1.0,1.0,0.0
185,True,True,1,0.0,1.0,1.0
186,True,True,1,0.0,1.0,1.0
187,False,True,1,1.0,2.0,0.0
189,True,False,0,1.0,1.0,1.0
190,True,False,1,0.0,1.0,0.0
191,True,True,0,1.0,1.0,1.0
192,True,True,0,1.0,1.0,1.0
193,True,True,0,1.0,2.0,1.0
194,True,True,0,1.0,1.0,1.0
195,False,False,0,1.0,1.0,1.0
196,True,False,0,1.0,1.0,1.0
198,True,False,1,1.0,2.0,0.0
199,True,False,1,1.0,1.0,1.0
200,True,False,0,1.0,1.0,0.0
201,True,False,0,1.0,1.0,1.0
202,True,True,1,1.0,1.0,1.0
203,True,True,1,0.0,2.0,1.0
204,True,True,0,1.0,1.0,1.0
205,True,False,1,1.0,1.0,1.0
206,True,False,1,1.0,1.0,0.0
207,True,False,0,1.0,1.0,1.0
208,True,True,0,0.0,1.0,1.0
209,True,True,0,1.0,0.0,0.0
210,True,False,0,1.0,1.0,1.0
211,True,False,1,1.0,1.0,0.0
213,True,True,1,1.0,2.0,1.0
214,True,False,1,1.0,1.0,1.0
215,True,False,0,1.0,1.0,1.0
216,True,True,0,0.0,2.0,1.0
217,True,False,0,1.0,1.0,1.0
218,True,True,0,1.0,1.0,1.0
219,True,False,0,1.0,1.0,0.0
220,True,False,0,1.0,1.0,1.0
222,True,False,1,1.0,1.0,1.0
223,True,True,0,1.0,2.0,0.0
224,True,True,0,1.0,1.0,1.0
225,True,False,1,1.0,1.0,0.0
226,True,False,1,1.0,0.0,1.0
227,True,False,1,1.0,1.0,1.0
228,False,False,0,1.0,1.0,0.0
229,True,True,1,1.0,1.0,1.0
230,True,True,1,1.0,1.0,1.0
231,True,True,1,1.0,1.0,1.0
232,True,False,0,1.0,2.0,1.0
233,True,True,1,1.0,1.0,1.0
234,True,True,0,1.0,1.0,1.0
235,True,True,0,1.0,1.0,1.0
236,True,True,0,1.0,1.0,0.0
237,True,True,0,0.0,1.0,1.0
238,True,True,0,1.0,1.0,1.0
239,True,False,0,1.0,1.0,1.0
240,True,False,1,1.0,1.0,1.0
241,True,True,1,1.0,1.0,1.0
242,True,False,1,1.0,1.0,0.0
243,True,True,1,1.0,1.0,1.0
244,True,True,0,1.0,1.0,1.0
245,True,True,0,1.0,1.0,1.0
246,True,False,0,1.0,2.0,1.0
247,True,True,0,1.0,1.0,0.0
248,True,False,0,1.0,2.0,1.0
249,True,True,1,1.0,1.0,1.0
250,False,False,1,1.0,1.0,1.0
252,True,True,0,1.0,1.0,1.0
253,True,False,1,0.0,2.0,1.0
254,True,False,1,1.0,2.0,0.0
256,True,True,1,0.0,2.0,1.0
257,True,True,1,1.0,1.0,0.0
258,True,False,1,1.0,1.0,0.0
259,True,True,1,1.0,1.0,0.0
260,True,True,1,1.0,2.0,0.0
261,True,False,0,1.0,1.0,0.0
262,True,False,0,1.0,2.0,1.0
263,True,False,1,1.0,1.0,1.0
264,True,True,1,1.0,1.0,1.0
265,True,True,0,1.0,1.0,1.0
266,True,False,0,1.0,2.0,1.0
267,True,True,1,1.0,2.0,0.0
268,False,False,0,1.0,1.0,1.0
269,True,True,0,1.0,1.0,1.0
270,True,True,1,1.0,1.0,0.0
271,True,False,0,1.0,1.0,1.0
272,True,True,1,1.0,1.0,1.0
273,True,True,0,1.0,1.0,1.0
274,True,False,0,1.0,1.0,1.0
275,True,False,0,1.0,1.0,1.0
276,True,True,1,0.0,1.0,1.0
277,True,True,0,1.0,1.0,1.0
278,True,False,1,1.0,1.0,0.0
280,False,False,0,1.0,1.0,0.0
281,True,False,0,1.0,1.0,1.0
282,True,True,1,1.0,1.0,1.0
283,True,True,0,1.0,1.0,0.0
284,True,False,1,1.0,1.0,1.0
285,True,True,0,1.0,1.0,0.0
286,True,False,1,1.0,1.0,1.0
287,True,False,0,1.0,1.0,0.0
288,True,True,1,1.0,1.0,1.0
289,True,False,0,1.0,2.0,1.0
290,False,False,1,1.0,1.0,0.0
291,True,True,0,1.0,1.0,1.0
292,True,False,1,1.0,1.0,1.0
293,True,True,0,1.0,1.0,0.0
294,True,False,0,1.0,1.0,1.0
295,True,False,1,1.0,1.0,1.0
296,True,False,0,1.0,1.0,1.0
297,False,True,0,1.0,2.0,1.0
298,True,False,0,0.0,1.0,0.0
299,True,False,1,1.0,1.0,0.0
300,True,False,0,1.0,1.0,1.0
302,True,True,0,1.0,2.0,1.0
303,True,True,1,1.0,1.0,1.0
305,False,True,0,1.0,1.0,0.0
306,True,False,1,1.0,1.0,1.0
307,True,True,1,1.0,1.0,1.0
308,True,False,0,0.0,1.0,1.0
309,True,True,0,1.0,1.0,1.0
310,True,False,0,1.0,1.0,0.0
311,True,True,1,1.0,1.0,1.0
312,True,True,1,1.0,1.0,1.0
313,True,True,0,0.0,1.0,1.0
314,True,False,0,1.0,1.0,1.0
315,True,True,0,1.0,1.0,1.0
316,True,False,0,1.0,1.0,0.0
318,True,False,1,1.0,2.0,0.0
319,True,True,0,1.0,2.0,1.0
320,True,False,0,1.0,1.0,1.0
321,True,True,0,1.0,1.0,1.0
322,True,False,1,1.0,1.0,1.0
324,True,True,1,1.0,0.0,1.0
325,True,True,1,1.0,1.0,0.0
326,True,False,0,1.0,1.0,1.0
327,True,False,0,1.0,1.0,1.0
328,True,False,0,1.0,1.0,1.0
329,True,False,1,1.0,1.0,1.0
330,True,True,0,1.0,1.0,0.0
331,True,True,0,1.0,1.0,1.0
332,True,False,0,0.0,1.0,0.0
333,True,False,1,1.0,1.0,1.0
334,True,True,1,1.0,1.0,0.0
335,True,False,0,1.0,1.0,0.0
336,True,True,0,1.0,1.0,0.0
337,True,True,0,1.0,1.0,1.0
338,True,True,0,1.0,1.0,0.0
339,True,True,1,1.0,1.0,1.0
340,True,True,0,0.0,1.0,0.0
341,True,True,1,1.0,1.0,1.0
342,True,True,0,1.0,1.0,1.0
343,True,False,0,1.0,1.0,0.0
344,True,False,0,1.0,1.0,1.0
345,True,False,1,1.0,1.0,1.0
346,True,False,1,1.0,1.0,0.0
348,True,False,1,1.0,2.0,1.0
349,True,False,1,1.0,1.0,1.0
350,True,False,1,1.0,1.0,1.0
351,True,False,1,1.0,1.0,0.0
352,True,False,0,1.0,1.0,1.0
353,True,False,0,1.0,1.0,0.0
354,True,False,0,1.0,1.0,1.0
355,True,True,0,0.0,1.0,1.0
356,True,False,0,1.0,1.0,1.0
357,True,False,1,1.0,2.0,1.0
358,True,False,0,1.0,1.0,0.0
359,True,True,0,1.0,1.0,0.0
360,True,True,0,1.0,1.0,1.0
361,True,True,0,1.0,1.0,1.0
363,True,True,1,1.0,1.0,0.0
364,True,True,1,0.0,1.0,1.0
365,True,False,0,1.0,1.0,0.0
366,True,False,0,1.0,1.0,1.0
367,True,False,0,1.0,1.0,1.0
368,True,False,0,1.0,0.0,0.0
369,True,False,1,1.0,1.0,1.0
370,True,False,1,1.0,1.0,0.0
371,True,True,1,1.0,1.0,0.0
372,True,True,1,1.0,1.0,1.0
373,True,False,1,0.0,1.0,0.0
374,True,False,0,0.0,2.0,1.0
375,True,True,0,1.0,2.0,1.0
376,True,False,1,1.0,2.0,0.0
377,True,False,0,1.0,1.0,0.0
378,True,True,0,1.0,1.0,1.0
379,True,True,1,1.0,1.0,0.0
381,True,True,0,1.0,1.0,1.0
382,True,True,0,1.0,1.0,1.0
383,True,True,1,1.0,2.0,0.0
384,False,False,0,1.0,1.0,0.0
385,True,True,1,1.0,1.0,1.0
386,False,True,0,1.0,1.0,0.0
387,True,True,1,1.0,0.0,0.0
388,True,False,0,1.0,1.0,1.0
390,True,False,1,1.0,0.0,0.0
391,True,False,1,1.0,2.0,1.0
392,True,False,0,1.0,1.0,1.0
393,False,False,0,1.0,1.0,0.0
394,True,False,0,1.0,1.0,1.0
395,True,False,0,1.0,1.0,1.0
398,True,False,0,0.0,2.0,0.0
399,True,False,0,1.0,1.0,1.0
400,True,True,0,1.0,1.0,0.0
401,True,True,0,1.0,1.0,1.0
402,True,True,0,1.0,1.0,1.0
403,True,False,0,1.0,1.0,1.0
404,True,True,1,1.0,2.0,1.0
405,True,False,1,1.0,1.0,1.0
406,True,False,0,1.0,1.0,1.0
407,True,False,0,0.0,1.0,1.0
408,True,True,0,1.0,1.0,1.0
409,True,True,0,1.0,1.0,1.0
410,True,True,0,1.0,1.0,1.0
411,True,False,0,1.0,2.0,1.0
412,True,False,0,1.0,1.0,1.0
413,True,False,1,1.0,1.0,0.0
414,True,True,0,1.0,1.0,0.0
415,True,True,0,1.0,1.0,1.0
416,True,True,1,1.0,1.0,1.0
417,True,False,0,1.0,1.0,1.0
418,True,True,1,0.0,1.0,1.0
419,True,True,0,1.0,1.0,1.0
420,True,True,1,0.0,1.0,1.0
421,True,False,0,1.0,1.0,1.0
422,True,True,0,0.0,2.0,1.0
423,True,False,0,1.0,2.0,1.0
424,True,True,1,1.0,1.0,0.0
425,True,False,0,1.0,1.0,0.0
426,True,True,0,1.0,1.0,1.0
427,True,False,1,1.0,1.0,0.0
428,True,False,0,1.0,1.0,1.0
429,True,False,0,1.0,0.0,0.0
430,True,True,0,1.0,1.0,1.0
431,True,True,0,0.0,2.0,1.0
432,False,True,1,1.0,1.0,0.0
433,True,True,0,1.0,1.0,1.0
434,True,True,1,1.0,1.0,1.0
435,True,False,0,1.0,1.0,1.0
436,True,False,0,1.0,1.0,1.0
437,True,False,0,1.0,1.0,1.0
438,True,False,1,1.0,1.0,1.0
439,True,False,1,1.0,1.0,0.0
440,True,False,1,1.0,1.0,0.0
441,True,False,1,0.0,1.0,1.0
442,True,False,0,1.0,1.0,1.0
443,True,False,0,1.0,1.0,0.0
444,True,False,0,1.0,1.0,1.0
446,True,True,0,1.0,1.0,1.0
447,True,False,0,1.0,1.0,1.0
448,True,True,1,1.0,1.0,1.0
449,True,True,1,1.0,1.0,1.0
450,True,False,1,1.0,1.0,1.0
452,True,True,0,1.0,1.0,1.0
453,True,False,1,1.0,2.0,1.0
455,True,False,0,1.0,1.0,1.0
456,True,False,0,1.0,1.0,1.0
458,True,False,1,0.0,1.0,1.0
459,True,False,0,1.0,1.0,0.0
460,True,True,0,1.0,2.0,1.0
461,True,False,0,1.0,1.0,0.0
462,True,True,0,1.0,1.0,1.0
463,True,True,1,1.0,2.0,1.0
464,True,False,1,1.0,1.0,1.0
465,True,False,1,1.0,1.0,1.0
466,True,False,1,0.0,1.0,1.0
467,True,False,0,1.0,1.0,1.0
468,True,False,0,1.0,1.0,1.0
469,True,True,1,1.0,2.0,1.0
470,True,True,1,1.0,1.0,1.0
471,True,False,1,1.0,1.0,1.0
472,True,False,1,1.0,0.0,1.0
473,True,False,0,1.0,1.0,1.0
474,True,False,0,1.0,1.0,1.0
475,False,True,1,1.0,1.0,0.0
476,True,False,1,1.0,2.0,1.0
477,True,True,0,1.0,1.0,1.0
478,True,False,0,1.0,1.0,1.0
479,True,False,1,1.0,1.0,0.0
480,True,False,1,1.0,0.0,1.0
481,True,True,0,0.0,1.0,1.0
482,True,False,1,0.0,1.0,0.0
483,False,False,1,0.0,1.0,1.0
484,True,True,1,1.0,2.0,1.0
485,True,False,1,1.0,1.0,1.0
486,True,False,0,1.0,1.0,1.0
487,True,False,1,0.0,1.0,0.0
488,True,False,1,1.0,1.0,1.0
489,True,False,0,1.0,2.0,1.0
490,True,True,1,1.0,1.0,1.0
491,True,False,0,1.0,1.0,1.0
492,True,True,1,1.0,2.0,1.0
493,True,False,0,1.0,1.0,1.0
494,True,False,0,0.0,2.0,1.0
495,True,False,1,1.0,1.0,0.0
497,True,False,1,1.0,1.0,0.0
498,True,False,0,1.0,1.0,1.0
499,False,False,0,1.0,1.0,1.0
500,True,True,1,1.0,1.0,1.0
501,True,False,0,1.0,1.0,1.0
503,True,True,0,1.0,1.0,1.0
504,True,False,0,1.0,1.0,0.0
505,True,True,1,1.0,2.0,0.0
506,True,True,1,1.0,1.0,1.0
507,True,True,1,0.0,1.0,0.0
508,True,True,0,1.0,2.0,0.0
509,True,True,1,1.0,1.0,0.0
510,True,True,1,1.0,1.0,1.0
512,True,True,1,1.0,1.0,1.0
513,True,True,0,1.0,2.0,1.0
515,True,False,0,1.0,1.0,1.0
516,True,False,0,1.0,1.0,1.0
517,True,False,1,1.0,1.0,0.0
518,True,False,0,1.0,1.0,1.0
519,True,False,0,1.0,1.0,1.0
520,True,False,0,1.0,1.0,1.0
521,True,True,0,1.0,1.0,1.0
522,True,False,0,1.0,1.0,1.0
523,True,False,1,1.0,1.0,1.0
524,True,False,1,0.0,2.0,0.0
526,True,False,1,1.0,1.0,1.0
527,True,True,0,1.0,1.0,0.0
528,True,True,1,1.0,1.0,1.0
529,True,False,0,1.0,1.0,0.0
530,True,False,1,1.0,1.0,1.0
531,True,False,1,1.0,1.0,1.0
532,True,True,0,1.0,1.0,1.0
533,True,True,1,1.0,2.0,0.0
534,True,False,1,1.0,1.0,1.0
535,True,True,0,1.0,1.0,1.0
537,True,False,1,1.0,1.0,1.0
539,True,True,0,1.0,1.0,1.0
540,True,False,1,1.0,1.0,1.0
541,True,False,0,1.0,0.0,0.0
542,True,False,1,1.0,1.0,1.0
543,True,True,1,1.0,1.0,1.0
544,True,False,0,1.0,2.0,1.0
545,True,True,0,1.0,0.0,1.0
546,True,True,1,1.0,1.0,0.0
547,True,False,0,1.0,1.0,1.0
548,False,False,0,1.0,1.0,1.0
549,True,True,0,1.0,1.0,1.0
550,True,False,0,1.0,1.0,1.0
551,True,True,1,1.0,2.0,0.0
552,False,False,1,1.0,1.0,1.0
553,True,True,0,1.0,1.0,1.0
554,True,True,1,1.0,1.0,0.0
555,True,False,0,1.0,1.0,1.0
556,True,False,1,1.0,2.0,1.0
557,True,True,0,1.0,1.0,1.0
558,True,False,1,1.0,1.0,1.0
559,True,False,0,1.0,1.0,1.0
560,True,True,0,1.0,1.0,0.0
561,True,False,0,1.0,1.0,1.0
562,True,False,0,1.0,1.0,1.0
563,True,False,0,1.0,1.0,1.0
564,True,False,1,1.0,1.0,0.0
565,True,True,1,1.0,1.0,0.0
566,True,True,0,0.0,1.0,0.0
567,True,True,1,1.0,1.0,1.0
568,True,True,0,1.0,1.0,0.0
569,True,False,1,0.0,1.0,1.0
571,True,True,0,1.0,1.0,1.0
572,True,False,1,1.0,1.0,1.0
573,True,True,0,1.0,1.0,1.0
574,True,False,0,1.0,1.0,1.0
575,True,False,1,1.0,1.0,1.0
577,True,False,0,0.0,1.0,1.0
578,True,True,0,1.0,1.0,1.0
579,True,False,0,1.0,1.0,1.0
580,True,True,0,1.0,1.0,1.0
582,True,True,0,1.0,1.0,1.0
583,True,False,1,1.0,1.0,1.0
584,True,False,0,1.0,1.0,1.0
585,False,True,0,1.0,1.0,1.0
586,True,False,1,1.0,1.0,1.0
587,True,True,1,0.0,2.0,0.0
588,True,True,1,1.0,1.0,1.0
589,True,False,0,1.0,2.0,1.0
590,True,False,0,1.0,1.0,0.0
591,True,False,0,1.0,1.0,1.0
592,True,True,1,0.0,0.0,0.0
593,False,True,0,0.0,1.0,1.0
594,True,True,0,1.0,1.0,1.0
595,True,False,1,0.0,1.0,1.0
596,True,False,1,1.0,1.0,1.0
597,True,True,0,0.0,1.0,0.0
598,True,True,0,1.0,1.0,1.0
599,True,False,0,1.0,2.0,0.0
600,True,True,0,1.0,1.0,0.0
601,True,True,0,1.0,1.0,0.0
602,True,True,1,1.0,1.0,1.0
604,True,False,1,1.0,1.0,1.0
605,True,False,0,1.0,1.0,1.0
607,True,False,1,0.0,0.0,0.0
608,True,True,0,1.0,1.0,1.0
609,True,False,1,1.0,1.0,0.0
610,True,False,0,1.0,1.0,1.0
611,True,True,1,1.0,1.0,1.0
613,True,True,0,1.0,1.0,1.0
614,True,True,1,1.0,1.0,0.0
615,False,False,1,1.0,1.0,1.0
617,True,True,1,1.0,1.0,1.0
618,True,False,0,1.0,1.0,1.0
619,True,True,0,1.0,2.0,0.0
620,True,True,0,1.0,1.0,1.0
621,False,True,0,0.0,1.0,1.0
622,True,True,1,1.0,1.0,1.0
623,True,True,1,0.0,1.0,1.0
624,True,False,0,1.0,2.0,1.0
625,True,False,1,1.0,1.0,1.0
626,True,True,0,1.0,1.0,1.0
627,True,True,0,1.0,1.0,1.0
628,True,True,1,1.0,1.0,1.0
